id,name,price_range,cuisine1,cuisine2,cuisine3,rating
324,Mama's Fish House,4,Hawaiian,Seafood,,4.9
325,Marukame Udon,1,Japanese,,,4.9
326,Yard House,3,American,Asian,Burger,4.6
327,Lulu's Waikiki,2,American,,,3.9
328,Duke's Waikiki,4,Hawaiian,Seafood,Steak,4.4
329,Eggs 'n Things,1,Breakfast,,,4
330,Roy's,4,Asian,European,Seafood,4.2
331,Wailana Coffee House,2,American,Breakfast,Hawaiian,4.2
332,The Lady & Sons,3,Southern,,,3.3
333,Green Truck Pub,3,Burger,,,4.7
334,Leopold's Ice Cream,1,Desserts,Sandwich,Ice Cream,4.6
335,Mrs. Wilkes' Dining Room,3,American,Southern,,4.5
336,Zunzi's,2,International,Mediterranean,Sandwich,4.5
337,Moon River Brewing Company,2,American,Bar Food,Sandwich,3.7
338,Pirates' House Restaurant,3,American,Seafood,Steak,3.8
339,B. Matthew's Eatery,2,American,Breakfast,,4.1
340,Crystal Beer Parlor,2,American,Bar Food,,4.4
341,Goose Feathers Cafe and Bakery,1,Breakfast,Vegetarian,,4.2
342,Henry's,1,American,Breakfast,,4.1
343,Huey's On The River,3,Breakfast,Cajun,,4.1
344,J. Christopher's,2,Breakfast,Diner,Sandwich,4.3
345,Lulu's Chocolate Bar,1,Coffee and Tea,Desserts,,4.3
346,Rocks on the River,4,Pizza,Seafood,Steak,4
347,SOHO South Cafe,2,Cafe,Sandwich,Southern,4.3
348,The Olde Pink House,4,American,Seafood,Southern,4.4
349,Vic's On The River,4,American,,,4.1
350,The Crab Shack,3,Seafood,,,3.8
351,Tybee Island Social Club,1,,,,3.9
352,Archie's Waeside,3,Burger,Seafood,Steak,3.7
353,Bob Roe's Pizza,1,American,Pizza,Bar Food,3.6
354,Da Kao Restaurant,1,Asian,Vegetarian,Vietnamese,3.8
355,Famous Dave's,1,BBQ,,,3.6
356,Fuji Bay Japanese Restaurant,3,Japanese,Sushi,,3.7
357,HuHot Mongolian Grill,2,Asian,Chinese,,3.6
358,Hunan Palace,2,Chinese,,,3.8
359,Jerry's Pizza,2,Pizza,,,3.8
360,Jim's Burgers,1,Burger,,,3.7
361,Johnnie Mars,1,American,Desserts,Diner,3.9
362,Miles Inn,1,American,,,3.7
363,Milwaukee Wiener House,1,American,Fast Food,,3.8
364,Minerva's Food & Cocktails,3,American,Seafood,Steak,3.7
365,Monterrey Mexican Restaurant,1,Mexican,,,3.7
366,Rebos,2,Caribbean,Mexican,Cajun,3.8
367,Tokyo Japanese Steakhouse & Sushi Bar,3,Japanese,Steak,Sushi,3.9
368,Diamond Thai Cuisine,1,Asian,Thai,Vegetarian,4
369,El Fredo Pizza,3,Pizza,,,4
370,Trattoria Fresco,2,Italian,,,4
371,Kahill's Steak-Fish Chophouse,4,American,Seafood,Steak,3.5
372,Rumba Island Bar & Grill,2,BBQ,Caribbean,Seafood,4.6
373,Red Mesa Cantina,2,Latin American,Mexican,Southwestern,4.6
374,BellaBrava,2,American,Italian,Seafood,4.1
375,Ceviche Tapas Bar & Restaurant,2,Spanish,Tapas,,4.1
376,The Moon Under Water,2,British,Bar Food,Sandwich,4.1
377,Bern's Steak House,4,American,Desserts,Steak,4.7
378,Boca Kitchen Bar Market,3,Breakfast,,,3.9
379,Edison: Food+Drink Lab,4,International,,,3.9
380,Ceviche Tapas Bar & Restaurant,2,Breakfast,Spanish,Tapas,4.4
381,Daily Eats,2,American,Burger,,4.4
382,Salt Rock Grill,3,American,Seafood,Steak,4.2
383,Mazzaro's Italian Market,1,Italian,Deli,,4.9
384,Conch Republic Grill,3,Sandwich,Seafood,Steak,4.5
385,Mr. Dunderbak's Biergarten and Marketplatz,3,European,German,,4.9
386,Red Mesa Restaurant,3,Breakfast,Mexican,,4.5
387,Datz,3,Desserts,Bar Food,,4.7
388,Ella's Americana Folk Art Cafe,3,International,Italian,Southern,4.8
389,Taco Bus,1,Mexican,Vegetarian,,4.5
390,The Refinery,3,Seafood,Steak,,4
391,Columbia Restaurant,3,Cuban,Spanish,,4.4
392,Buffalo Wild Wings,2,Bar Food,,,3.4
393,El Toreo Mexican Restaurant,2,Mexican,,,3.1
394,306 North Restaurant,3,Seafood,Southern,,3.9
395,Austins Cattle Co,3,Burger,Seafood,Steak,3.7
396,Beijing Cafe,3,Asian,Chinese,Thai,3.8
397,Bleu Cafe,2,Pizza,Sandwich,,3.7
398,Bleu Pub,1,Burger,Bar Food,Vegetarian,3.8
399,Bubba Jax Crab Shack,3,Fast Food,Seafood,,3.7
400,Cheddar's Scratch Kitchen,2,American,,,3.7
401,El Cazador,1,Mexican,,,3.7
402,Friends Grille and Bar,2,American,Southern,,3.9
403,Giulios Greek & Italian Restaurant,3,Greek,Italian,,3.8
404,La Jalisco Supermercato,1,Mexican,,,3.5
405,Masato Japanese,2,Japanese,Sushi,,3.9
406,Mom & Dad's Italian Restaurant,2,Italian,,,3.7
407,Mori's Japanese Steakhouse & Sushi Bar,4,Japanese,Steak,Sushi,3.5
408,Passage 2 India,2,Indian,Middle Eastern,,3.8
409,Rodeo Mexican Restaurant,2,Mexican,,,3.8
410,Steel Magnolias,3,Southern,,,3.8
411,Smok'n Pig B-B-Q,2,BBQ,,,4.1
412,Blue House Cafe,1,Coffee and Tea,Mediterranean,,4.3
413,Masala Grill & Coffee House,1,Indian,Middle Eastern,,3.2
414,Brown Bottle The Cedar Falls,2,Italian,Pizza,Vegetarian,3.7
415,Four Queens Dairy Cream,1,Desserts,,,3.9
416,Hong Kong Chinese Restaurant,1,Chinese,,,3.8
417,HuHot Mongolian Grill,2,Asian,Chinese,,3.7
418,J's Homestyle Cooking,1,American,Breakfast,,3.6
419,Montage,3,American,Italian,Seafood,3.6
420,Mulligan's Brick Oven Grill,2,Burger,Pizza,Sandwich,3.6
421,Sakura,3,Japanese,Sushi,,3.8
422,Scratch,1,Coffee and Tea,Desserts,Beverages,3.7
423,SOHO Sushi Bar & Deli,2,Sandwich,Sushi,Tapas,3.6
424,Texas Roadhouse,2,American,BBQ,Steak,3.6
425,Tony's La Pizzeria,2,Pizza,Sandwich,,3.6
426,Chapala,2,Mexican,,,3.6
427,Galleria de Paco,3,American,,,3.6
428,Golden China,1,Chinese,,,3.7
429,Rudy's Tacos,2,Mexican,,,3.6
430,The Screaming Eagle,1,American,Bar Food,,3.7
431,The Thai Bowl,1,Thai,,,3.5
432,Tokyo Japanese Steak House,2,Japanese,Steak,Sushi,3.9
433,Theo Yianni's Authentic Greek Restaurant,2,Burger,Greek,Sandwich,3.9
434,Fishpatrick's Crabby Cafe,2,Burger,Seafood,Steak,3.2
